,8.0%,16.0%,20.0%,27.5%,30.0%,33.0%,50.0%
CF,,1.0,,,,,
IRM,,,,,,,1.0
LB,,,,1.0,,,
LM,1.0,,,,,1.0,
LMT,,1.0,,,,,
MCK,1.0,,,,,,
MO,,2.0,,,,,1.0
MU,,1.0,,,,,
NKE,,,1.0,,1.0,,
ROST,,,1.0,,,,
SHW,,1.0,,,,,
TSN,,1.0,1.0,,,,
ZTS,,,2.0,,,,
