452,ORA
453,ENG
454,CWC
455,BAB
456,LEG
457,MKS
458,PGHN
459,EKTAB
460,KABN
461,SPD
462,GFC
463,SECUB
464,FUM1V
465,SEBA
466,RMG
467,BNZL
468,BPE
469,TCY
470,RTO
471,GSZ
472,TRELB
473,LAD
474,WKL
475,KGF
476,SMIN
477,MHG
478,ADS
479,HOME
480,FNC
481,SCHP
482,MPI
483,INF
484,JUP
485,ETL
486,CAST
487,FER
488,MAP
489,AML
490,BPSO
491,INDUA
492,OML
493,BBA
494,CNP
495,PNL
496,TEL2B
497,WDH
498,US
499,ISAT
500,TGS
501,BP
502,DWNI
503,RRTL
504,TEC
505,YAR
506,CEZ
507,HSX
508,RMS
509,INVP
510,LAND
511,PNN
512,IAP
513,VCT
514,ASHM
515,BARN
516,LUX
517,GJF
518,SGC
519,SAZ
520,HELN
521,RATOB
522,SRG
523,RCO
524,KOMB
525,DEQ
526,HEIO
527,SPSN
528,ADN
529,FDR
530,HTO
531,ASSAB
532,CARLB
533,GAM
534,BPOST
535,MTGB
536,SRP
537,COFB
538,FUR
539,PRY
540,CLLN
541,VIG
542,TRN
543,ALO
544,CBG
545,MTO
546,ISS
547,DRX
548,SPM
549,CCH
550,ACS
551,SDR
552,TFI
553,PARG
554,ORK
555,KNIN
556,LONN
557,CPR
558,TNTE
559,BALN
560,HWDN
561,ASM
562,WHA
563,ABE
564,NUO
565,COLR
566,III
567,BME
568,SKYD
569,CORA
570,SVT
571,ACKB
572,BOL
573,STB
574,GLB
575,DLN
576,FNTN
577,TOP
578,CGL
579,SWMA
580,FME
581,PGIL
582,ADP
583,BOK
584,IJ
585,PSPN
586,GBLB
587,JAZ
588,KD8
589,SGRO
590,RHK
591,OSR
592,KESBV
593,ABG
594,MMB
595,SK
596,TKA
597,SLHN
598,LRE
599,OERL
